Category: Shopping

Week,Hydro Flask: (United States),Nalgene: (United States),YETI: (United States),Owala®: (United States),Stanley: (United States)
2022-05-22,5,1,12,<1,2
2022-05-29,6,<1,14,<1,3
2022-06-05,5,<1,13,<1,2
2022-06-12,5,<1,17,0,2
2022-06-19,5,1,14,<1,2
2022-06-26,6,1,14,<1,2
2022-07-03,6,1,13,<1,2
2022-07-10,7,1,14,<1,3
2022-07-17,8,1,14,<1,2
2022-07-24,8,1,13,1,2
2022-07-31,8,1,13,1,2
2022-08-07,8,1,13,1,3
2022-08-14,8,1,11,1,5
2022-08-21,7,1,11,<1,4
2022-08-28,6,1,12,<1,4
2022-09-04,8,1,11,<1,3
2022-09-11,6,1,9,1,6
2022-09-18,5,<1,10,1,4
2022-09-25,6,1,8,1,4
2022-10-02,7,<1,9,<1,6
2022-10-09,6,<1,9,1,5
2022-10-16,6,<1,10,1,5
2022-10-23,5,1,9,1,4
2022-10-30,5,<1,8,1,4
2022-11-06,7,<1,10,1,6
2022-11-13,8,1,16,1,11
2022-11-20,17,1,39,2,19
2022-11-27,13,1,29,1,11
2022-12-04,10,1,23,1,10
2022-12-11,10,1,22,1,15
2022-12-18,9,<1,19,1,14
2022-12-25,6,1,12,1,19
2023-01-01,5,1,7,1,14
2023-01-08,5,<1,7,1,14
2023-01-15,5,<1,7,1,13
2023-01-22,4,<1,7,1,12
2023-01-29,4,<1,7,1,13
2023-02-05,5,<1,7,1,13
2023-02-12,5,1,8,1,10
2023-02-19,4,1,8,1,8
2023-02-26,4,<1,7,1,9
2023-03-05,4,1,9,1,11
2023-03-12,4,<1,9,1,12
2023-03-19,3,<1,8,1,9
2023-03-26,4,1,8,1,10
2023-04-02,2,<1,8,1,10
2023-04-09,2,1,8,1,10
2023-04-16,2,<1,11,1,10
2023-04-23,3,<1,10,1,11
2023-04-30,2,<1,10,1,12
2023-05-07,3,<1,11,1,17
2023-05-14,4,1,10,1,12
2023-05-21,4,1,10,1,10
2023-05-28,6,<1,12,1,9
2023-06-04,5,<1,13,2,11
2023-06-11,4,<1,14,1,11
2023-06-18,5,<1,12,2,11
2023-06-25,3,<1,12,2,11
2023-07-02,5,<1,13,2,10
2023-07-09,6,1,13,2,11
2023-07-16,7,1,14,2,11
2023-07-23,6,1,14,2,11
2023-07-30,8,<1,12,2,15
2023-08-06,7,<1,12,3,14
2023-08-13,7,1,12,3,14
2023-08-20,6,<1,11,2,15
2023-08-27,6,<1,12,3,14
2023-09-03,4,1,11,2,16
2023-09-10,4,<1,11,2,13
2023-09-17,3,<1,11,2,14
2023-09-24,3,<1,9,2,13
2023-10-01,4,<1,9,2,12
2023-10-08,3,<1,10,2,14
2023-10-15,4,<1,9,2,13
2023-10-22,4,<1,9,2,18
2023-10-29,4,<1,12,3,22
2023-11-05,5,1,13,3,30
2023-11-12,7,<1,17,4,36
2023-11-19,13,<1,43,10,100
2023-11-26,9,1,32,7,61
2023-12-03,8,1,23,5,50
2023-12-10,9,1,25,6,58
2023-12-17,8,<1,22,4,60
2023-12-24,6,<1,16,4,58
2023-12-31,5,<1,11,4,72
2024-01-07,5,<1,10,4,54
2024-01-14,4,<1,9,5,41
2024-01-21,4,<1,9,4,34
2024-01-28,5,<1,8,6,31
2024-02-04,4,<1,8,6,25
2024-02-11,4,<1,7,6,25
2024-02-18,4,0,9,7,20
